recipe_id,recipe_name
0,Überbackene Hähnchenbrust Parmigiana
1,Schweinelachssteak auf Kräuterbutter-Spätzle
2,Cajun-Schweinelachssteak auf würzigem Bulgur
3,Veggie Stroganoff mit Portobello & Champignons
4,Würzige Fischboulette in Kräuterpanade
5,Seelachs nach Hausmacher Art mit Apfel
6,Beyond Meat Mumbai Burger mit Mango-Chutney
7,Frische Linguine mit Hähnchengeschnetzeltem
8,Gebratenes Fischfilet auf Caesar Salad
9,Jamaikanisches Seafood-Curry mit Garnelen
10,Hähnchen Piccata in Kapern-Zitronen-Soße
11,Pikantes Seelachsfilet an Kräutermarinade
12,Panierter Blumenkohl mit Kräuterdip
13,Rinderhackbällchen mit Senf-Frühlingszwiebel-Soße
14,Teriyaki-Fischfilet auf Ingwer-Süßkartoffelstampf
15,Weihnachtsbäckerei: Niedliche Schneemann-Plätzchen
16,Steak nach Boeuf Bourguignon Art
17,Würziges Dal-Curry mit smashed Potatoes
18,Fischfilet mit Kapern-Dill-Dressing
19,Wintertiramisu mit Birnen & Spekulatius
20,Seehecht in Spinat-Sahne-Soße aus dem Ofen
21,Griechisches Souflaki Rindersteak auf Bulgur
22,Tundra-Teller: Fischfilet nach Art Bordelaise
23,Kräuter-Schweinefilet mit Obatzda-Ofenkartoffeln
24,Paprika Hähnchenbrust mit Salsa Verde
25,Hähnchen in Curry-Sahne-Soße
26,Schnelles Schweinefilet mit Rotkohl
27,Cowboy Chicken Chili mit Mais & Reis
28,Paniertes Rinderschnitzel mit Aioli
29,Pollo Asado: Hähnchen in smoky Limettenmarinade
30,Linsen-Pilz-Ragout mit Kartoffel-Pastinakenstampf
31,Gefüllte Hähnchenbrust mit Hirtenkäse
32,Zarter Zitronenlachs mit Kapern-Butter
33,Linsenauflauf mit Käse-Kartoffel-Haube
34,"Norwegisches Lachsfilet mit Kresse-Mandel-Salat,"
35,"Gemüseeintopf mit Brokkoli, Porree und Karotte"
36,Brunch deluxe: Kartoffelpuffer mit Räucherlachs
37,Cheese Melt: Champignon-Ofensandwich
38,Aprikosen-Hähnchen mit Piri-Piri-Gemüse
39,Würfelsalat mit Harissa-Grillkäse
40,An Guadn: Herzhafte Kaspressknödel
41,Würzige Fischboulette in Kräuterpanade
42,Stir Fry Schweinefilet mit Soja-Pflaumensauce
43,Seehecht im Wintermantel
44,Bayerische Schweinshaxe mit Bratensoße
45,Caesar Salad mit gebratenen Gnocchi
46,Hähnchen-Shawarma-Teller mit Blumenkohl
47,Schweinelachssteak in Wildpreiselbeer-Soße
48,Schneckenspaß im hohen Gras unter Apfel-Sonne
49,Garnelen auf Kräuter-Pastinakenstampf
50,Hähnchen mit cremigem Auflauf
51,Feines gebratenes Lachsfilet auf Porreegemüse
52,Limettenreis Bowl mit spicy Garlic-Chicken
53,Fettuccine Dandan-Style mit Hackfleisch
54,Schweinesteak mit Kohlrabigemüse
55,Hähnchenbrust mit Pflaumen-Sriracha-Soße
56,Hähnchenbrust mit Zwiebel-Chutney-Haube
57,Babyspinat-Spätzle-Pfanne mit Champignons
58,Griechische Hähnchen-Zitronen-Suppe
59,Korma-Curry mit Kofu auf Zucchini-Kartoffel-Gemüse
60,Lachsfilet in süß-scharfer Ingwer-Soße
61,Schweinelachssteak mit rauchigen Kartoffeln
62,Würziges Dal-Curry mit smashed Potatoes
63,Honig-Senf-Hähnchensalat mit Avocado
64,Pikante Cajun-Reispfanne mit Garnelen
65,Smokey Hähnchenfilet auf knackigem Salat
66,Aprikosen-Hähnchen mit bunten Piri-Piri-Gemüsewürfeln
67,Rotes Hähnchen-Kürbis-Curry
68,Currywurstfinger in selbst gemachter roter Soße
69,Paprika-Garnelen auf buntem Gemüsestampf
70,Schnelles Geschnetzeltes mit Porree & Karotte
71,Thüringer mit schnellem Kartoffelsalat
72,Thai Mango Linsensalat mit Hähnchen
73,"Flammkuchen mit Bacon, Cranberries & Camembert"
74,"Würzige Gemüsepfanne mit Kürbis, Süßkartoffel & Blumenkohl"
75,Schneller Teriyaki Seelachs auf Spinat-Reis
76,Zarter Zitronenlachs mit Kapern-Butter
77,Mexikanische Spaghetti Bolognese
78,Veganes Maronen-Pilz-Ragout
79,Garnelen auf Kräuter-Pastinakenstampf
80,Spätzlepfanne mit Raclette-Käse-Soße
81,Cajun Garnelen auf Cannellinibohnen-Salat
82,Kreolische Garnelen-Drillinge-Pfanne
83,Maultaschen in cremiger Zwiebelsoße
84,Porree-Spätzle-Pfanne
85,Thai Erdnuss-Curry mit krossem Chili-Tofu
86,Vegane Gnocchi in Spinat-Tomaten-Soße
87,Paprika-Hähnchenbrust in Balsamico-Pilz-Soße
88,Ziegenkäse-Tabbouleh mit Cranberries
89,Pla Pad Krapow: Thai Basilikum Fischfilet
90,Frühlingseintopf mit Sauerkraut und Kräutercreme
91,Wiesn Dahoam: Backhendl-Teller
92,Zaatar-Garnelen mit Kapern auf Couscous
93,Schweinemedaillons mit süßen Karotten
94,Schweinelachssteak auf geröstetem Kürbis-Salat
95,Winterliche Kartoffelpfanne mit Blumenkohl
96,Salbei-Schweinesteak mit Ofengemüse
97,Rauchiges Süßkartoffel-Chili
98,Vegetarian Butcher Chick-Eria Bang Bang Style
99,Paprika-Garnelen auf buntem Gemüsestampf
100,Griechischer „Stifado“-Eintopf mit Rinderhackbällchen
